YYYYMM,nuclear,renewable
199912,0.664188,0.54281
200012,0.65519575,0.508683167
200112,0.669071083,0.4299935
200212,0.67878575,0.477172
200312,0.663301833,0.495341667
200412,0.685231167,0.506221083
200512,0.6800675,0.519453833
200612,0.684552167,0.553059083
200712,0.704882417,0.543573833
200812,0.702207583,0.597860833
200912,0.696268333,0.633655667
201012,0.702869417,0.669178833
201112,0.689058167,0.749928583
201212,0.6718185,0.7255415
201312,0.687036083,0.772995167
201412,0.694796583,0.797501417
201512,0.6947405,0.789245583
201612,0.701842667,0.847031
